"area_numbe","area_num_1","area","comarea","comarea_id","community","perimeter","shape_area","shape_len","life_expectency","violent_crime_count","per_families_children_below_poverty","per_bachelors","per_no_internet","per_no_HI","per_same_house","per_poor_mh","disconnection_rate","hs_disconnection_rate","covid_death_rate","structural_ranking","covid_impact_ranking","health_ranking","overall_ranking","pr_poverty","pr_no_bachelors","pr_no_internet","pr_no_HI","pr_moved","pr_comm_disconnection","pr_hs_disconnection","pr_covid_death_rate","pr_poor_mh","pr_crime","pr_life_expectency","percent_black_hisp","pr_black_hisp","total","hs_graduation_spr2020","pr_low_hs_grad","partner_count","pr_partner_count"
20,20,0,0,0,"HERMOSA",0,32602059.4055,27179.0174378,79.612,394,20.8696041583367,9.36201639344262,19.3477944822071,18.1994042383047,90.3519792083167,14.6661135545782,8.630656,11.734192,246.72138,0.394736842105263,0.723684210526316,0.578947368421053,0.54,0.526315789473684,0.697368421052632,0.552631578947368,0.644736842105263,0.263157894736842,0.328947368421053,0.526315789473684,0.802631578947368,0.684210526315789,0.315789473684211,0.394736842105263,0.863336314467016,0.605263157894737,4.85526315789474,86,0.407894736842105,4,0.342105263157895
21,21,0,0,0,"AVONDALE",0,55290595.473,34261.9334038,81.0704,508,19.3526437776985,25.0302424736386,15.2904574397636,24.1440448779991,86.4031661657582,13.183355407264,8.514802,11.608534,134.974,0.381578947368421,0.157894736842105,0.473684210526316,0.39,0.486842105263158,0.289473684210526,0.342105263157895,0.815789473684211,0.578947368421053,0.315789473684211,0.513157894736842,0.144736842105263,0.513157894736842,0.447368421052632,0.197368421052632,0.584133480245553,0.421052631578947,3.68421052631579,86,0.407894736842105,24,0.815789473684211
22,22,0,0,0,"LOGAN SQUARE",0,100057566.7,49213.4217488,81.1209,959,15.2938705075073,35.8581602011006,12.6901991983151,12.2480577484883,80.8655899177933,11.4084353556627,8.503916,11.595226,170.4781,0.434210526315789,0.131578947368421,0.197368421052632,0.26,0.342105263157895,0.118421052631579,0.210526315789474,0.381578947368421,0.789473684210526,0.302631578947368,0.5,0.236842105263158,0.236842105263158,0.671052631578947,0.171052631578947,0.428592873616551,0.315789473684211,2.86842105263158,87,0.302631578947368,9,0.592105263157895
23,23,0,0,0,"HUMBOLDT PARK",0,100480876.502,48583.0643299,74.6697,2207,28.5665554036539,9.91386822434885,24.567898016796,25.3363677360936,85.5914805674414,16.2007758819665,33.694185,34.565194,215.22029,0.934210526315789,0.684210526315789,0.868421052631579,0.82,0.671052631578947,0.684210526315789,0.763157894736842,0.868421052631579,0.618421052631579,0.986842105263158,0.986842105263158,0.513157894736842,0.855263157894737,0.921052631578947,0.657894736842105,0.90338487103533,0.657894736842105,6.89473684210526,80,0.815789473684211,11,0.631578947368421
24,24,0,0,0,"WEST TOWN",0,127562904.597,55203.7186956,79.9984,1298,12.6468845171431,44.1937147558699,8.73246315944592,8.00629101581688,78.4786975636113,10.4622654484723,7.146785,9.605154,142.72783,0.342105263157895,0.118421052631579,0.131578947368421,0.13,0.276315789473684,0.0394736842105263,0.118421052631579,0.210526315789474,0.881578947368421,0.171052631578947,0.315789473684211,0.184210526315789,0.144736842105263,0.736842105263158,0.302631578947368,0.290053368673663,0.210526315789474,2.35526315789474,87,0.302631578947368,2,0.197368421052632
25,25,0,0,0,"AUSTIN",0,199254203.427,75226.4749167,70.1267,5238,30.4060011774976,7.30270793998822,29.4096892827415,18.4732971963376,86.6014480175407,16.212621556327,14.475314,22.366132,232.44212,0.907894736842105,0.855263157894737,0.881578947368421,0.89,0.776315789473684,0.828947368421053,0.881578947368421,0.657894736842105,0.552631578947368,0.710526315789474,0.842105263157895,0.657894736842105,0.868421052631579,1,0.868421052631579,0.928217055917719,0.684210526315789,7.10526315789474,79,0.881578947368421,39,1
26,26,0,0,0,"WEST GARFIELD PARK",0,36092848.8151,26238.5419796,68.4772,1700,46.6132992611522,3.25318593411477,32.3932870396089,29.8694872507083,84.7722170990501,19.1443530914949,33.698432,34.572656,221.4825,1,0.815789473684211,1,0.96,0.960526315789474,0.986842105263158,0.947368421052632,0.960526315789474,0.644736842105263,1,1,0.552631578947368,0.973684210526316,0.828947368421053,0.960526315789474,0.960158391714895,0.802631578947368,7.98684210526316,75,0.947368421052632,3,0.236842105263158
27,27,0,0,0,"EAST GARFIELD PARK",0,53883220.8462,31514.6259565,67.6843,1411,47.6226916905723,10.1566271211164,31.4110463363641,14.0974410463364,86.8233753099626,18.2480429814752,33.491962,34.374836,208.0062,0.947368421052632,0.75,0.907894736842105,0.91,0.973684210526316,0.657894736842105,0.921052631578947,0.473684210526316,0.539473684210526,0.947368421052632,0.947368421052632,0.447368421052632,0.960526315789474,0.815789473684211,0.986842105263158,0.911826821541711,0.671052631578947,7.19736842105263,77,0.907894736842105,25,0.881578947368421
28,28,0,0,0,"NEAR WEST SIDE",0,158492466.554,53003.5929406,76.3446,1979,15.737284306044,36.683805324247,11.433046773929,4.64062735737323,76.0347859915089,11.691102567373,7.136808,9.582904,115.44088,0.407894736842105,0.0921052631578947,0.25,0.25,0.355263157894737,0.0921052631578947,0.144736842105263,0.105263157894737,0.934210526315789,0.157894736842105,0.302631578947368,0.0657894736842105,0.276315789473684,0.868421052631579,0.565789473684211,0.359727718853886,0.289473684210526,2.82894736842105,81,0.75,11,0.631578947368421
29,29,0,0,0,"NORTH LAWNDALE",0,89487422.0242,44959.4596627,68.0885,2852,40.0861383381599,6.38404321675206,29.6070541880151,20.9951311539318,83.9569302740031,18.2334456449098,33.594195,34.46617,275.25943,0.986842105263158,0.960526315789474,0.960526315789474,0.97,0.907894736842105,0.868421052631579,0.894736842105263,0.710526315789474,0.697368421052632,0.960526315789474,0.960526315789474,0.894736842105263,0.947368421052632,0.973684210526316,0.973684210526316,0.950581485985096,0.736842105263158,8,72,1,21,0.671052631578947
3,3,0,0,0,"UPTOWN",0,65095642.7289,46972.7945549,76.1421,916,22.3083460487563,36.284774138604,14.3834218090203,13.5746997977361,78.2399957418119,11.6144938078847,6.095342,15.72048,191.97015,0.513157894736842,0.223684210526316,0.355263157894737,0.32,0.565789473684211,0.105263157894737,0.289473684210526,0.434210526315789,0.894736842105263,0.105263157894737,0.539473684210526,0.315789473684211,0.25,0.618421052631579,0.578947368421053,0.323589752284711,0.263157894736842,3.42105263157895,86,0.407894736842105,7,0.539473684210526
30,30,0,0,0,"SOUTH LAWNDALE",0,127998297.867,49904.0452102,80.4736,1396,38.5318875491878,5.85415863686813,28.2590867470487,33.2630752446776,86.3832680859651,17.5632037634951,33.627011,34.500402,269.51045,0.973684210526316,0.921052631578947,0.763157894736842,0.93,0.881578947368421,0.894736842105263,0.855263157894737,0.986842105263158,0.592105263157895,0.973684210526316,0.973684210526316,0.868421052631579,0.921052631578947,0.776315789473684,0.223684210526316,0.953074545782114,0.776315789473684,7.26315789473684,83,0.671052631578947,6,0.473684210526316
31,31,0,0,0,"LOWER WEST SIDE",0,81550723.6377,43229.3727036,80.2423,698,21.7185943135117,23.0313243311247,14.7140898543431,22.3847328692443,88.7123581872571,14.0380860521681,7.129341,9.568474,178.3534,0.328947368421053,0.210526315789474,0.552631578947368,0.45,0.539473684210526,0.381578947368421,0.328947368421053,0.763157894736842,0.447368421052632,0.144736842105263,0.289473684210526,0.263157894736842,0.631578947368421,0.565789473684211,0.25,0.736891244767039,0.5,3.98684210526316,84,0.618421052631579,6,0.473684210526316
